station_id,event_id,start_date,end_date,duration,severity,intensity,peak_SSI,severity_hm3
9003,39,1999-10-27,1999-11-14,19,5.0433,0.2654,-1.7454,0.8129
9003,40,2000-01-26,2000-02-15,21,5.3175,0.2532,-1.9509,0.9513
9003,41,2000-03-06,2000-03-28,23,10.7,0.4652,-2.138,3.9237
9003,42,2000-06-04,2000-07-02,29,3.852,0.1328,-1.7671,0.3037
9003,43,2001-05-29,2001-07-03,36,3.73,0.1036,-1.6704,0.3681
9003,44,2001-10-31,2001-11-13,14,1.4285,0.102,-1.5394,0.3838
9003,45,2001-12-07,2002-01-02,27,11.7963,0.4369,-2.288,2.7117
9003,46,2002-01-16,2002-02-06,22,4.8362,0.2198,-1.8813,1.1324
9003,47,2002-03-26,2002-04-05,11,3.0802,0.28,-1.7527,1.4126
9003,48,2002-04-20,2002-05-04,15,10.1917,0.6794,-2.1839,2.637
9003,49,2002-05-29,2002-06-03,6,0.5683,0.0947,-1.5136,0.0816
9003,50,2006-11-03,2006-11-16,14,1.444,0.1031,-1.6786,0.3005
9003,51,2006-12-23,2007-01-31,40,23.9594,0.599,-2.243,5.7823
9003,52,2007-11-30,2007-12-08,9,0.1962,0.0218,-1.3334,0.1249
9003,53,2007-12-30,2008-01-06,8,0.6646,0.0831,-1.5582,0.1382
9003,54,2008-01-26,2008-03-07,42,15.2083,0.3621,-2.0311,3.8789
9003,55,2010-04-20,2010-05-03,14,2.8129,0.2009,-1.7317,0.9565
9003,56,2011-01-24,2011-02-21,29,2.8566,0.0985,-1.6599,0.5147
9003,57,2011-04-12,2011-04-24,13,4.8254,0.3712,-1.9383,1.5366
9003,58,2011-05-24,2011-06-05,13,1.1266,0.0867,-1.6163,0.1656
9003,59,2011-06-17,2011-07-12,26,3.767,0.1449,-1.614,0.2554
9003,60,2011-08-11,2011-09-18,39,2.2573,0.0579,-1.4679,0.0673
9003,61,2011-10-01,2011-11-04,35,33.2846,0.951,-2.7957,2.2015
9003,62,2011-11-26,2011-12-17,22,6.5871,0.2994,-1.9887,1.6771
9003,63,2012-01-17,2012-01-29,13,0.7761,0.0597,-1.5095,0.3334
9003,64,2012-03-15,2012-04-09,26,3.8745,0.149,-1.848,1.8868
9003,65,2012-06-27,2012-10-18,114,42.7489,0.375,-2.2968,2.561
9003,66,2016-10-02,2016-10-09,8,0.4154,0.0519,-1.6005,0.0569
9003,67,2016-10-28,2016-11-04,8,1.107,0.1384,-1.4967,0.2236
9003,68,2016-11-18,2016-11-22,5,0.0781,0.0156,-1.311,0.1165
9003,69,2016-12-14,2017-01-10,28,10.0349,0.3584,-2.0587,2.3819
9003,70,2017-04-19,2017-06-03,46,10.5766,0.2299,-2.0459,2.6943
9003,71,2017-06-15,2017-06-25,11,2.5321,0.2302,-1.6301,0.1924
9003,72,2017-07-29,2017-11-07,102,15.3006,0.15,-1.8916,1.3909
9003,73,2017-11-21,2017-11-30,10,1.8204,0.182,-1.5865,0.5135
9003,74,2019-01-08,2019-01-20,13,0.7873,0.0606,-1.3816,0.4006
9003,75,2019-03-30,2019-04-15,17,0.8168,0.048,-1.5402,0.6406
9003,76,2019-10-08,2019-10-13,6,0.3162,0.0527,-1.3899,0.0871
9004,1,1961-03-23,1961-04-10,19,1.6851,0.0887,-1.8294,0.9409
9004,2,1962-07-07,1962-07-19,13,0.3742,0.0288,-1.4704,0.1814
9004,3,1962-08-13,1962-09-16,35,2.8115,0.0803,-1.865,1.6744
9004,4,1964-01-13,1964-01-30,18,4.5136,0.2508,-1.8825,1.8282
9004,5,1964-07-28,1964-08-02,6,0.4974,0.0829,-1.5868,0.2506
9004,6,1964-09-16,1964-10-10,25,7.5898,0.3036,-1.8101,2.475
9004,7,1964-11-25,1964-11-29,5,1.3375,0.2675,-1.6997,0.8018
9004,8,1965-07-08,1965-07-16,9,0.5859,0.0651,-1.7841,0.1642
9004,9,1970-10-23,1970-11-11,20,1.1009,0.055,-1.8102,0.3154
9004,10,1970-12-28,1971-01-07,11,3.8753,0.3523,-2.159,2.1116
9004,11,1971-10-28,1971-11-03,7,0.3379,0.0483,-1.3729,0.051
9004,12,1974-06-08,1974-06-23,16,3.3348,0.2084,-3.1803,0.7497
9004,13,1974-07-06,1974-07-24,19,15.513,0.8165,-3.4312,2.9713
9004,14,1974-08-07,1974-08-31,25,16.6446,0.6658,-2.8783,4.1351
9004,15,1978-10-13,1978-10-17,5,8.3005,1.6601,-3.0013,2.5272
9004,16,1978-10-30,1978-11-27,29,29.3052,1.0105,-2.7239,14.0262
9004,17,1979-10-01,1979-10-08,8,1.4287,0.1786,-2.0401,0.4804
9004,18,1979-10-23,1979-10-27,5,0.6949,0.139,-1.4795,0.3161
9004,19,1979-12-10,1979-12-19,10,1.3082,0.1308,-1.5411,0.3154
9004,20,1980-02-10,1980-02-22,13,1.1905,0.0916,-1.5198,0.9288
9004,21,1980-04-11,1980-04-15,5,1.8769,0.3754,-1.9292,1.1465
9004,22,1980-05-01,1980-05-05,5,1.0729,0.2146,-1.5891,0.5409
9004,23,1980-07-21,1980-10-09,81,99.6313,1.23,-4.2217,22.8407
9004,24,1982-04-28,1982-05-06,9,1.1233,0.1248,-1.6656,0.4666
9004,25,1982-05-21,1982-05-30,10,0.8767,0.0877,-1.4846,0.7773
9004,26,1982-09-23,1982-10-06,14,3.1504,0.225,-1.8953,1.0092
9004,27,1983-06-10,1983-06-20,11,2.3911,0.2174,-1.8172,0.6288
9004,28,1983-10-29,1983-12-10,43,7.2982,0.1697,-1.7542,2.9909
9004,29,1984-04-24,1984-04-29,6,0.8302,0.1384,-1.5032,0.2324
9004,30,1984-07-08,1984-07-14,7,0.6153,0.0879,-1.52,0.2246
9004,31,1985-07-09,1985-08-02,25,6.7603,0.2704,-2.5564,1.9181
9004,32,1985-09-04,1985-10-01,28,8.5672,0.306,-2.3026,2.5442
9004,33,1985-10-16,1985-11-06,22,8.0648,0.3666,-2.0631,2.751
9004,34,1985-11-19,1986-01-01,44,14.6028,0.3319,-2.2685,7.2033
