station_id,event_id,duration,severity,intensity,propagated
9036,65,15,1.5694,0.1046,False
9142,83,20,1.1205,0.056,False
9048,39,11,0.5831,0.053,True
9005,77,47,8.612,0.1832,True
9120,64,14,15.9691,1.1407,True
9018,16,46,14.6726,0.319,True
9093,46,8,0.3922,0.049,False
9002,44,25,8.4145,0.3366,True
9074,69,16,1.2167,0.076,False
9126,79,63,11.4818,0.1823,True
9078,39,22,1.6532,0.0751,False
9079,4,36,14.495,0.4026,True
9004,10,11,3.8753,0.3523,True
9063,59,18,1.5747,0.0875,False
9036,42,7,2.7338,0.3905,False
9150,64,17,12.9025,0.759,False
9142,60,20,1.2762,0.0638,False
9048,16,34,2.6931,0.0792,True
9013,58,15,1.2468,0.0831,True
9079,40,16,6.9312,0.4332,True
9005,54,23,29.9303,1.3013,True
9025,69,21,2.8806,0.1372,False
9048,52,10,5.4945,0.5494,False
9101,27,14,3.1393,0.2242,True
9002,21,12,4.73,0.3942,True
9021,34,32,17.7615,0.555,True
9078,16,6,2.2033,0.3672,False
9003,22,12,0.6205,0.0517,False
9063,36,7,1.8553,0.265,False
9142,37,16,1.4187,0.0887,True
9013,35,84,13.0697,0.1556,True
9079,17,55,12.1742,0.2213,True
9065,82,20,7.0217,0.3511,True
9036,55,6,3.0829,0.5138,False
9142,73,39,7.5097,0.1926,True
9048,29,10,2.0127,0.2013,True
9013,71,61,29.0209,0.4758,True
9005,67,15,4.0644,0.271,True
9021,11,19,3.6058,0.1898,False
9074,23,97,46.5005,0.4794,True
9093,36,161,42.8988,0.2665,True
9097,6,121,83.9714,0.694,True
9002,34,53,10.0688,0.19,True
9063,13,40,31.9253,0.7981,True
9150,18,13,6.3457,0.4881,True
9074,59,30,6.011,0.2004,False
9020,88,9,1.2395,0.1377,False
9078,29,27,4.0914,0.1515,False
9025,23,23,1.7068,0.0742,False
9044,36,182,77.1478,0.4239,True
9063,49,52,19.9736,0.3841,True
9150,54,188,105.3916,0.5606,True
9142,50,36,1.8736,0.052,True
9048,6,104,103.6521,0.9967,True
9005,44,12,1.3752,0.1146,True
9120,31,32,8.9306,0.2791,True
9004,85,9,2.4477,0.272,True
9050,52,6,1.4855,0.2476,False
9040,38,5,0.8298,0.166,False
9101,17,16,2.923,0.1827,False
9093,13,79,45.9651,0.5818,True
9018,19,15,3.4122,0.2275,True
9074,36,25,4.2593,0.1704,True
9020,65,12,5.4775,0.4565,False
9093,49,38,10.6156,0.2794,True
9126,46,12,3.5375,0.2948,True
9078,6,31,18.2688,0.5893,True
9097,19,89,81.4721,0.9154,True
9063,26,5,3.3473,0.6695,False
9142,27,63,10.1046,0.1604,True
9065,72,86,36.2844,0.4219,True
9025,36,18,14.0381,0.7799,False
9048,19,131,76.5264,0.5842,True
9005,57,11,0.301,0.0274,True
9004,98,53,7.4724,0.141,False
9020,42,20,23.1216,1.1561,False
9002,24,8,2.3811,0.2976,False
9063,3,17,6.8667,0.4039,True
9096,37,5,1.1148,0.223,False
9142,4,25,1.287,0.0515,True
9126,59,36,25.2261,0.7007,True
9078,19,29,2.9751,0.1026,False
9118,55,246,102.4394,0.4164,True
9064,84,16,3.3699,0.2106,True
9025,13,13,2.4674,0.1898,True
9065,49,6,2.1959,0.366,False
9044,26,16,2.4472,0.1529,False
9142,40,45,34.0242,0.7561,True
9013,38,23,3.1453,0.1368,False
9005,34,78,43.7408,0.5608,True
9120,21,95,38.4425,0.4047,True
9004,75,34,8.9055,0.2619,True
9101,7,30,1.1614,0.0387,False
9093,3,5,3.3999,0.68,False
9074,26,24,1.3586,0.0566,True
9020,55,12,0.9393,0.0783,False
9126,36,24,7.3722,0.3072,False
9018,94,13,3.3759,0.2597,False
9097,9,39,40.1673,1.0299,True
9064,61,13,4.0586,0.3122,False
9063,16,67,28.682,0.4281,True
9150,21,43,5.5419,0.1289,False
9096,50,78,9.6972,0.1243,True
9118,68,25,15.9719,0.6389,False
9005,11,25,3.6821,0.1473,False
9011,91,21,12.7515,0.6072,True
9004,52,50,18.5739,0.3715,True
9038,44,16,2.5319,0.1582,False
9004,88,11,0.6931,0.063,True
9050,55,110,20.8187,0.1893,True
9093,16,162,92.1351,0.5687,True
9020,32,22,3.0716,0.1396,True
9126,13,103,14.2716,0.1386,True
9126,49,12,1.5179,0.1265,True
9018,107,14,5.9453,0.4247,False
9064,74,21,3.564,0.1697,False
9065,39,9,1.5133,0.1681,False
9005,24,17,16.5011,0.9707,False
9020,9,63,38.0874,0.6046,True
9126,26,6,3.2671,0.5445,False
9118,22,10,0.8659,0.0866,False
9064,51,9,2.669,0.2966,True
9065,16,110,58.8025,0.5346,True
9002,76,21,10.4208,0.4962,True
9150,11,6,0.7337,0.1223,False
9021,89,7,1.318,0.1883,False
9096,40,90,6.7636,0.0752,True
9005,1,18,0.9064,0.0504,False
9004,42,71,40.5048,0.5705,True
9050,9,36,12.6504,0.3514,True
9079,72,75,26.0767,0.3477,False
9020,22,17,4.3854,0.258,False
9064,28,77,34.0826,0.4426,True
9021,66,12,1.6167,0.1347,False
9018,97,54,17.4859,0.3238,True
9064,64,42,10.0992,0.2405,True
9011,58,13,6.5638,0.5049,False
9003,54,42,15.2083,0.3621,True
9038,11,21,1.1188,0.0533,True
9079,49,9,1.2764,0.1418,True
9004,55,5,2.2368,0.4474,False
9050,22,132,110.8606,0.8399,True
9064,41,67,24.172,0.3608,True
9065,6,8,2.4735,0.3092,True
9002,66,9,1.9458,0.2162,True
9021,79,34,23.5595,0.6929,True
9078,61,17,5.6194,0.3306,False
9003,67,8,1.107,0.1384,True
9004,32,28,8.5672,0.306,False
9079,62,22,3.0966,0.1408,False
9038,24,84,62.7015,0.7464,True
9013,116,43,9.584,0.2229,False
9020,12,28,5.519,0.1971,False
