origin_station,origin_event_id,duration,severity,intensity,connected
9065,5,26,7.7912,0.2997,False
9065,6,8,2.4735,0.3092,True
9065,7,17,1.0123,0.0595,True
9065,8,14,1.3732,0.0981,True
9065,9,6,1.1871,0.1979,False
9065,10,15,0.4816,0.0321,True
9065,11,100,36.8645,0.3686,False
9065,12,37,12.8242,0.3466,True
9065,13,32,1.6805,0.0525,False
9065,14,9,0.4908,0.0545,False
9065,15,24,8.9318,0.3722,True
9065,16,110,58.8025,0.5346,True
9065,17,16,2.2381,0.1399,True
9065,18,63,17.135,0.272,False
9065,19,15,5.1955,0.3464,True
9065,20,28,8.3045,0.2966,True
9065,21,40,18.0747,0.4519,True
9065,22,23,5.6725,0.2466,True
9065,23,20,3.6669,0.1833,True
9065,24,29,17.2834,0.596,True
9065,25,32,18.9782,0.5931,True
9065,26,13,0.1953,0.015,True
9065,27,47,13.8093,0.2938,False
9065,28,41,19.2449,0.4694,False
9065,29,15,1.667,0.1111,False
9065,30,12,2.1457,0.1788,True
9065,31,76,44.986,0.5919,False
9065,32,31,27.9053,0.9002,True
9065,33,42,8.416,0.2004,False
9065,34,54,47.7723,0.8847,True
9065,35,7,5.9516,0.8502,False
9065,36,7,0.6935,0.0991,True
9065,37,36,3.0543,0.0848,False
9065,38,5,0.6097,0.1219,True
9065,39,9,1.5133,0.1681,True
9065,40,26,4.3596,0.1677,False
9065,41,81,12.3906,0.153,True
9065,42,11,4.1789,0.3799,False
9065,43,33,21.9821,0.6661,True
9065,44,10,3.7914,0.3791,True
9065,45,6,0.7559,0.126,True
9065,46,9,0.3747,0.0416,True
9065,47,48,7.99,0.1665,False
9065,48,9,2.4137,0.2682,True
9065,49,6,2.1959,0.366,True
9065,50,106,75.1326,0.7088,True
9065,51,68,20.4896,0.3013,False
9065,52,31,2.9297,0.0945,False
9065,53,22,5.6905,0.2587,False
9065,54,63,13.1994,0.2095,False
9065,55,25,9.9466,0.3979,False
9065,56,10,0.6741,0.0674,True
9065,57,15,3.3948,0.2263,True
9065,58,44,41.3122,0.9389,False
9065,59,6,0.4866,0.0811,False
9065,60,5,0.4168,0.0834,True
9065,61,33,14.7374,0.4466,False
9065,62,13,0.4744,0.0365,False
9065,63,11,0.8278,0.0753,False
