station_id,n_events,mean_severity,pool_gap,min_duration
9101,53,18.758771698113208,0,5
9118,96,10.653571874999999,0,5
9120,106,9.855222641509435,0,5
9124,164,15.116803658536586,0,5
9126,123,7.466962601626016,0,5
9142,127,6.774968503937008,0,5
9150,138,7.251303623188406,0,5
9002,96,9.958851041666668,0,7
9003,86,10.22086511627907,0,7
9004,100,8.597828,0,7
9005,95,8.617675789473685,0,7
9011,100,9.123928,0,7
9013,51,6.79038431372549,0,7
9018,76,9.042168421052631,0,7
9020,97,7.5698061855670105,0,7
9021,105,7.657739047619048,0,7
9025,64,11.7151140625,0,7
9027,61,12.599257377049181,0,7
9036,96,9.812527083333334,0,7
9038,68,14.988695588235295,0,7
9040,99,8.491332323232323,0,7
9044,75,12.688432,0,7
9048,76,12.99743947368421,0,7
9050,59,17.39284406779661,0,7
9063,106,8.391582075471698,0,7
9064,106,8.080716981132076,0,7
9065,89,10.67944382022472,0,7
9074,67,10.660601492537314,0,7
9078,82,11.648532926829269,0,7
9079,97,10.028125773195876,0,7
9093,63,15.828377777777778,0,7
9096,55,11.402483636363637,0,7
9097,43,20.55398139534884,0,7
9101,42,23.465290476190475,0,7
9118,82,12.230579268292683,0,7
9120,83,12.258736144578313,0,7
9124,128,17.8951796875,0,7
9126,85,9.922376470588237,0,7
9142,95,8.635332631578947,0,7
9150,112,8.582516964285714,0,7
9002,68,12.88713088235294,0,10
9003,68,12.395388235294117,0,10
9004,73,10.767328767123287,0,10
9005,68,10.845645588235294,0,10
9011,68,12.127827941176472,0,10
9013,23,9.620173913043478,0,10
9018,47,12.106408510638298,0,10
9020,69,9.650846376811595,0,10
9021,67,10.495971641791044,0,10
9025,42,16.58770476190476,0,10
9027,45,16.107055555555554,0,10
9036,68,12.359286764705883,0,10
9038,54,18.547131481481482,0,10
9040,70,11.008541428571428,0,10
9044,55,16.700045454545457,0,10
9048,63,15.39572380952381,0,10
9050,45,22.104024444444445,0,10
9063,74,10.698617567567569,0,10
9064,66,11.466260606060606,0,10
9065,66,13.403587878787878,0,10
9074,54,12.523892592592594,0,10
9078,60,15.147383333333332,0,10
9079,71,12.932608450704224,0,10
9093,51,19.213023529411764,0,10
9096,39,15.13192564102564,0,10
9097,34,24.73825,0,10
9101,31,31.28025806451613,0,10
9118,64,15.033878125,0,10
9120,66,14.588810606060605,0,10
9124,94,20.73605425531915,0,10
9126,58,13.385112068965517,0,10
9142,72,10.511669444444443,0,10
9150,84,10.598538095238094,0,10
9002,125,8.3529416,5,3
9003,104,9.092369230769231,5,3
9004,140,6.991902142857143,5,3
9005,117,7.9922008547008545,5,3
9011,136,7.389652941176471,5,3
9013,211,4.736190521327014,5,3
9018,168,5.672769642857143,5,3
9020,120,7.086369166666667,5,3
9021,135,7.072974814814814,5,3
9025,129,7.528422480620155,5,3
9027,116,8.052063793103448,5,3
9036,139,7.638572661870504,5,3
9038,77,13.667480519480518,5,3
9040,123,7.531448780487805,5,3
9044,80,12.0986175,5,3
9048,77,13.342551948051948,5,3
9050,77,13.8001987012987,5,3
9063,117,8.23771282051282,5,3
9064,144,6.584393055555555,5,3
9065,119,8.752102521008403,5,3
9074,116,7.032386206896552,5,3
9078,99,10.123875757575757,5,3
9079,109,9.496711926605505,5,3
9093,58,17.387379310344826,5,3
9096,84,8.667059523809524,5,3
9097,69,13.474349275362318,5,3
9101,54,18.787146296296296,5,3
9118,101,10.743113861386139,5,3
9120,102,10.654984313725489,5,3
9124,116,24.884030172413794,5,3
9126,134,7.32589776119403,5,3
9142,113,8.008701769911504,5,3
9150,91,11.329664835164836,5,3
9002,106,9.718296226415095,5,5
9003,91,10.33473846153846,5,5
